sale_id,store_id,store_name,region,product_id,product_name,category,quantity,selling_price,cost_price,discount_percent,returns,customer_rating,sale_date
1,101,Chennai Central,South,201,Laptop,Electronics,2.0,55000,45000.0,10.0,0.0,4.5,2026-01-05
2,101, Chennai Central ,south,202,Mobile,Electronics,5.0,22000,15000.0,,1.0,4.2,2026-01-06
3,102,Bangalore Mall,South,203,Headphones,Accessories,10.0,1200,500.0,15.0,0.0,4.8,2026-01-07
4,102,Bangalore Mall,South,204,Keyboard,Accessories,,1500,800.0,10.0,0.0,4.1,2026-01-08
5,103,Mumbai Plaza,West,205,Monitor,Electronics,4.0,11000,,8.0,0.0,4.6,2026-01-09
6,103,Mumbai Plaza,West,206,Mouse,Accessories,12.0,800,300.0,12.0,,3.9,2026-01-10
7,104,Delhi Hub,North,207,Tablet,Electronics,3.0,18000,12000.0,7.0,0.0,,2026-01-11
8,104,Delhi Hub,North,208,Printer,Office,2.0,9500,7000.0,5.0,0.0,4.0,2026-01-12
9,105,Hyderabad Store,South,209,Router,Networking,8.0,2500,1500.0,110.0,0.0,4.3,2026-01-13
10,105,Hyderabad Store,South,210,SSD,Storage,7.0,6000,4200.0,,0.0,6.5,2026-01-14
11,106,Kolkata Point,East,211,HDD,Storage,9.0,4500,3000.0,5.0,12.0,4.0,2026-01-15
12,106,Kolkata Point,East,212,Webcam,Accessories,15.0,2000,900.0,10.0,0.0,,2026-01-16
13,107,,West,213,Speaker,Audio,5.0,3500,1800.0,12.0,0.0,4.5,2026-01-17
14,107,Pune Retail,West,214,Smartwatch,Wearables,4.0,9000,6000.0,8.0,0.0,4.6,2026-01-18
15,108,Ahmedabad Shop,West,215,PowerBank,Accessories,20.0,1200,600.0,15.0,2.0,4.1,2026-01-19
16,108,Ahmedabad Shop,West,216,PowerBank,Accessories,-5.0,1200,600.0,15.0,1.0,4.0,2026-01-20
17,109,Jaipur Outlet,North,217,Camera,Electronics,3.0,"15,000",10000.0,10.0,0.0,4.7,2026-01-21
18,109,Jaipur Outlet,North,218,Tripod,Accessories,5.0,1800,700.0,-10.0,0.0,4.3,2026-01-22
19,110,Kochi Store,South,219,Scanner,Office,6.0,7000,5000.0,5.0,0.0,0.5,2026-01-23
20,110,Kochi Store,South,220,Projector,Office,2.0,35000,25000.0,5.0,0.0,4.8,2026-01-24
21,101,Chennai Central,South,201,Laptop,Electronics,2.0,55000,45000.0,10.0,0.0,4.5,2026-01-05
22,111,Lucknow Mart,North,221,Router,Networking,0.0,2500,1500.0,10.0,0.0,4.2,2026-01-25
23,112,Patna Store,East,222,SSD,Storage,4.0,abc,4200.0,5.0,0.0,4.5,2026-01-26
24,113,Indore Retail,West,223,Monitor,Electronics,3.0,12000,8000.0,,0.0,,2026-01-27
25,114,Nagpur Hub,West,224,Keyboard,Accessories,8.0,1500,800.0,10.0,9.0,4.4,2026-01-28
